crop_no,m,Dependent,Fixed,RMSE,Model ID,MAE
2,1,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",12.133255768763203,2,9.378824831840923
2,1,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",12.193720562234253,4,9.415956777707303
2,1,Yield.Change,0+Temp.Change+I(Temp.Change)^2+Temp.Change:Baseline_tmp+Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy,14.153444439914246,5,10.733514296067948
2,2,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",11.49517605768838,1,8.979359209352234
2,2,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",11.509652000457926,3,8.989719925550837
2,2,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",12.18574572253927,4,9.55373310497171
2,2,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Country2_fact,bs='re')",12.19063164816163,2,9.561833671845276
2,2,Yield.Change,0+Temp.Change+I(Temp.Change)^2+Temp.Change:Baseline_tmp+Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy,14.65734745103142,5,11.163484621796623
2,3,Yield.Change,"0+poly(Temp.Change,2)+poly(Precipitation.change,2)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",11.413343917555515,3,8.931953485210354
2,3,Yield.Change,"0+s(Temp.Change)+s(Precipitation.change)+Temp.Change:Baseline_tmp+Precipitation.change:Baseline_pre+Temp.Change:Precipitation.change+f_CO2:C3+f_CO2:C4+adapt_dummy+Temp.Change:adapt_dummy+s(Reference_fact,bs='re')+s(Temp.Change,Reference_fact,bs='re')+s(Precipitation.change,Reference_fact,bs='re')+s(f_CO2,Reference_fact,bs='re')+s(Country2_fact,bs='re')",11.413379277860635,1,8.92780294150792
